Product Name,Variant Name,OrderNumber,Quantity,Order Date
BLASTING BRICK,,100000,1,5/29/2014 9:42:35 PM
Blasting Brick,,102017,1,7/10/2014 6:03:08 PM
Boykin Pen,,100002,1,6/10/2014 3:55:01 PM
Boykin Pen,,100003,1,6/10/2014 3:59:44 PM
Boykin Pen,,100004,1,6/10/2014 4:05:15 PM
Boykin Pen,,100006,2,6/10/2014 4:07:46 PM
Ladies' Callaway Soft Shell Jacket,Size,100001,1,6/9/2014 11:02:22 AM
Ladies' Callaway Soft Shell Jacket,Size,100009,1,7/1/2014 4:14:46 PM
Tote Bag,,100012,1,7/2/2014 3:21:55 PM
Nike® Duffle,,100010,1,7/2/2014 2:27:54 PM
Nike® Duffle,,100011,1,7/2/2014 3:01:01 PM
Ladies' V-Neck Cardigan,Size,102016,1,7/10/2014 1:39:40 PM
Elixir Polo,Size,101012,1,7/6/2014 3:40:05 PM
Check Polo,Size,100013,1,7/2/2014 3:25:36 PM
Check Polo,Size,101014,1,7/8/2014 9:52:28 AM
Embossed Polo,Size,101013,1,7/7/2014 9:35:30 AM
Men's CB Dry Tec™ Zip,Size,102016,1,7/10/2014 1:39:40 PM
Men's CB Dry Tec™ Zip,Size,102016,1,7/10/2014 1:39:40 PM
